Variable,ParamWeight,,,Description,Transformation,
Identification10_d_identification_sol_mD_log,0.014932509529365806,,,,,
DisgustS4_gmc,-0.01,,,,,
Identification2_gmc_x_rThreatOG2_gmc,0.012702016941235515,,,,,
Identification1_gmc_x_Identification8_gmc,0.012623447659014011,,,,,
sThreat2_gmc_x_sThreat4_gmc,0.010154387791476238,,,,,
rThreatIG2_d_identification_sol_mD_log,0.01,,,,,
Identification6_d_identification_sol_mD_log,0.01,,,,,
generalized_challdiff_gmc,0.01,,,,,
DisgustS2_gmc_x_symbolic_gmc,-0.01,,,,,
ContactQ1_gmc_x_identification_sol_gmc,-0.01,,,,,
Identification8_gmc_x_ContactQ2_gmc,-0.01,,,,,
sThreat1_gmc_x_Identification2_gmc,0.01,,,,,
sThreat1_gmc_x_Identification3_gmc,0.00,,,sThreat1_gmc_x_Identification3_gmc,0.003741179,
Identification7_gmc_x_generalized_probdiff_gmc,0.00,,,Identification7_gmc_x_generalized_probdiff_gmc,-0.003526892,
Identification3_gmc_x_symbolic_gmc,0.00,,,Identification3_gmc_x_symbolic_gmc,0.002914975,
DisgustP5_gmc,0.00,,,DisgustP5_gmc,-0.002801773,
sThreat3_gmc_x_Agreeable2_gmc,0.00,,,sThreat3_gmc_x_Agreeable2_gmc,0.002482753,
DisgustS1_gmc_x_symbolic_gmc,0.00,,,DisgustS1_gmc_x_symbolic_gmc,-0.002354904,
DisgustR1_log,0.00,,,DisgustR1_log,-0.002321008,
Identification4_gmc_x_Identification5_gmc,0.00,,,Identification4_gmc_x_Identification5_gmc,-0.002180579,
sThreat3_gmc_x_rThreatIG1_gmc,0.00,,,sThreat3_gmc_x_rThreatIG1_gmc,0.001146033,
Identification4_gmc_x_DisgustP1_gmc,0.00,,,Identification4_gmc_x_DisgustP1_gmc,-0.001118676,
Identification4_gmc_x_rThreatIG1_gmc,0.00,,,Identification4_gmc_x_rThreatIG1_gmc,0.001016313,
contact_friendsz_d_disgust_p_mD_log,0.00,,,contact_friendsz_d_disgust_p_mD_log,-0.001003781,
sThreat3_gmc_x_DisgustP5_gmc,0.00,,,sThreat3_gmc_x_DisgustP5_gmc,-9.75E-04,
Identification8_gmc_x_generalized_challdiff_gmc,9.583667447966945e-4,,,,,9.583667447966945e-4
ContactN1_gmc_x_rThreatIG1_gmc,0.00,,,ContactN1_gmc_x_rThreatIG1_gmc,-9.10E-04,
generalized_probdiff_gmc_x_generalized_gmc,8.608707542245734e-4,,,,,
sThreat1_gmc_x_Identification8_gmc,6.52076101576243e-4,,,,,
ContactQ1_d_DisgustP5_mD_log,0.00,,,ContactQ1_d_DisgustP5_mD_log,-6.49E-04,
sThreat2_gmc_x_Agreeable2_gmc,4.597511472871229e-4,,,,,
Identification3_gmc_x_rThreatOG2_gmc,2.7997147034433814e-4,,,,,
rThreatIG2_gmc_x_generalized_gmc,0.00,,,rThreatIG2_gmc_x_generalized_gmc,-1.80E-04,
rThreatIG1_gmc_x_contact_friends_gmc,0.00,,,rThreatIG1_gmc_x_contact_friends_gmc,-1.58E-04,
Identification6_gmc_x_contact_quality_gmc,0.00,,,Identification6_gmc_x_contact_quality_gmc,-8.45E-05,
Identification1_gmc_x_Identification6_gmc,0.00,,,Identification1_gmc_x_Identification6_gmc,-6.31E-05,
Identification5_d_identification_sol_mD_log,5.70366646589949e-5,,,,,
Identification2_gmc_x_rThreatIG1_gmc,5.8893537981552275e-6,,,,,
sThreat1_gmc,0.00,,,,,
sThreat2_gmc,0.00,,,,,
sThreat4_gmc,0.00,,,,,
Identification1_gmc,0.00,,,,,
Identification2_gmc,0.00,,,,,
Identification3_gmc,0.00,,,,,
Identification4_gmc,0.00,,,,,
Identification6_gmc,0.00,,,,,
Identification7_gmc,0.00,,,,,
Identification8_gmc,0.00,,,,,
Identification9_gmc,0.00,,,,,
Identification10_gmc,0.00,,,,,
ContactQ1_gmc,0.00,,,,,
ContactQ2_gmc,0.00,,,,,
ContactQ3_gmc,0.00,,,,,
ContactN1_gmc,0.00,,,,,
Agreeable1_gmc,0.00,,,,,
Agreeable2_gmc,0.00,,,,,
rThreatIG1_gmc,0.00,,,,,
rThreatIG2_gmc,0.00,,,,,
rThreatOG1_gmc,0.00,,,,,
rThreatOG2_gmc,0.00,,,,,
DisgustP1_gmc,0.00,,,,,
DisgustP2_gmc,0.00,,,,,
DisgustP3_gmc,0.00,,,,,
DisgustP4_gmc,0.00,,,,,
DisgustP6_gmc,0.00,,,,,
DisgustS1_gmc,0.00,,,,,
DisgustS2_gmc,0.00,,,,,
DisgustS3_gmc,0.00,,,,,
DisgustR1_gmc,0.00,,,,,
DisgustR2_gmc,0.00,,,,,
identification_cen_gmc,0.00,,,,,
contact_friends_gmc,0.00,,,,,
b5a_gmc,0.00,,,,,
generalized_probdiff_gmc,0.00,,,,,
disgust_p_gmc,0.00,,,,,
disgust_s_gmc,0.00,,,,,
disgust_r_gmc,0.00,,,,,
sThreat1_gmc_x_sThreat2_gmc,0.00,,,,,
sThreat1_gmc_x_sThreat3_gmc,0.00,,,,,
sThreat1_gmc_x_sThreat4_gmc,0.00,,,,,
sThreat1_gmc_x_Identification1_gmc,0.00,,,,,
sThreat1_gmc_x_Identification4_gmc,0.00,,,,,
sThreat1_gmc_x_Identification5_gmc,0.00,,,,,
sThreat1_gmc_x_Identification6_gmc,0.00,,,,,
sThreat1_gmc_x_Identification7_gmc,0.00,,,,,
sThreat1_gmc_x_Identification9_gmc,0.00,,,,,
sThreat1_gmc_x_Identification10_gmc,0.00,,,,,
sThreat1_gmc_x_ContactQ1_gmc,0.00,,,,,
sThreat1_gmc_x_ContactQ2_gmc,0.00,,,,,
sThreat1_gmc_x_ContactQ3_gmc,0.00,,,,,
sThreat1_gmc_x_ContactN1_gmc,0.00,,,,,
sThreat1_gmc_x_Agreeable1_gmc,0.00,,,,,
sThreat1_gmc_x_Agreeable2_gmc,0.00,,,,,
sThreat1_gmc_x_rThreatIG1_gmc,0.00,,,,,
sThreat1_gmc_x_rThreatIG2_gmc,0.00,,,,,
sThreat1_gmc_x_rThreatOG1_gmc,0.00,,,,,
sThreat1_gmc_x_rThreatOG2_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP1_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP2_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP3_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP4_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP5_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustP6_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustS1_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustS2_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustS3_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustS4_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustR1_gmc,0.00,,,,,
sThreat1_gmc_x_DisgustR2_gmc,0.00,,,,,
sThreat1_gmc_x_symbolic_gmc,0.00,,,,,
sThreat1_gmc_x_identification_sol_gmc,0.00,,,,,
sThreat1_gmc_x_identification_sat_gmc,0.00,,,,,
sThreat1_gmc_x_identification_cen_gmc,0.00,,,,,
sThreat1_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
sThreat1_gmc_x_contact_quality_gmc,0.00,,,,,
sThreat1_gmc_x_contact_friends_gmc,0.00,,,,,
sThreat1_gmc_x_contact_friendsz_gmc,0.00,,,,,
sThreat1_gmc_x_b5a_gmc,0.00,,,,,
sThreat1_gmc_x_generalized_challdiff_gmc,0.00,,,,,
sThreat1_gmc_x_generalized_probdiff_gmc,0.00,,,,,
sThreat1_gmc_x_generalized_gmc,0.00,,,,,
sThreat1_gmc_x_disgust_p_gmc,0.00,,,,,
sThreat1_gmc_x_disgust_s_gmc,0.00,,,,,
sThreat1_gmc_x_disgust_r_gmc,0.00,,,,,
sThreat2_gmc_x_sThreat3_gmc,0.00,,,,,
sThreat2_gmc_x_Identification1_gmc,0.00,,,,,
sThreat2_gmc_x_Identification2_gmc,0.00,,,,,
sThreat2_gmc_x_Identification3_gmc,0.00,,,,,
sThreat2_gmc_x_Identification4_gmc,0.00,,,,,
sThreat2_gmc_x_Identification5_gmc,0.00,,,,,
sThreat2_gmc_x_Identification6_gmc,0.00,,,,,
sThreat2_gmc_x_Identification7_gmc,0.00,,,,,
sThreat2_gmc_x_Identification8_gmc,0.00,,,,,
sThreat2_gmc_x_Identification9_gmc,0.00,,,,,
sThreat2_gmc_x_Identification10_gmc,0.00,,,,,
sThreat2_gmc_x_ContactQ1_gmc,0.00,,,,,
sThreat2_gmc_x_ContactQ2_gmc,0.00,,,,,
sThreat2_gmc_x_ContactQ3_gmc,0.00,,,,,
sThreat2_gmc_x_ContactN1_gmc,0.00,,,,,
sThreat2_gmc_x_Agreeable1_gmc,0.00,,,,,
sThreat2_gmc_x_rThreatIG1_gmc,0.00,,,,,
sThreat2_gmc_x_rThreatIG2_gmc,0.00,,,,,
sThreat2_gmc_x_rThreatOG1_gmc,0.00,,,,,
sThreat2_gmc_x_rThreatOG2_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP1_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP2_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP3_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP4_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP5_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustP6_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustS1_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustS2_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustS3_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustS4_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustR1_gmc,0.00,,,,,
sThreat2_gmc_x_DisgustR2_gmc,0.00,,,,,
sThreat2_gmc_x_symbolic_gmc,0.00,,,,,
sThreat2_gmc_x_identification_sol_gmc,0.00,,,,,
sThreat2_gmc_x_identification_sat_gmc,0.00,,,,,
sThreat2_gmc_x_identification_cen_gmc,0.00,,,,,
sThreat2_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
sThreat2_gmc_x_contact_quality_gmc,0.00,,,,,
sThreat2_gmc_x_contact_friends_gmc,0.00,,,,,
sThreat2_gmc_x_contact_friendsz_gmc,0.00,,,,,
sThreat2_gmc_x_b5a_gmc,0.00,,,,,
sThreat2_gmc_x_generalized_challdiff_gmc,0.00,,,,,
sThreat2_gmc_x_generalized_probdiff_gmc,0.00,,,,,
sThreat2_gmc_x_generalized_gmc,0.00,,,,,
sThreat2_gmc_x_disgust_p_gmc,0.00,,,,,
sThreat2_gmc_x_disgust_s_gmc,0.00,,,,,
sThreat2_gmc_x_disgust_r_gmc,0.00,,,,,
sThreat3_gmc_x_sThreat4_gmc,0.00,,,,,
sThreat3_gmc_x_Identification1_gmc,0.00,,,,,
sThreat3_gmc_x_Identification2_gmc,0.00,,,,,
sThreat3_gmc_x_Identification3_gmc,0.00,,,,,
sThreat3_gmc_x_Identification4_gmc,0.00,,,,,
sThreat3_gmc_x_Identification5_gmc,0.00,,,,,
sThreat3_gmc_x_Identification6_gmc,0.00,,,,,
sThreat3_gmc_x_Identification7_gmc,0.00,,,,,
sThreat3_gmc_x_Identification8_gmc,0.00,,,,,
sThreat3_gmc_x_Identification9_gmc,0.00,,,,,
sThreat3_gmc_x_Identification10_gmc,0.00,,,,,
sThreat3_gmc_x_ContactQ1_gmc,0.00,,,,,
sThreat3_gmc_x_ContactQ2_gmc,0.00,,,,,
sThreat3_gmc_x_ContactQ3_gmc,0.00,,,,,
sThreat3_gmc_x_ContactN1_gmc,0.00,,,,,
sThreat3_gmc_x_Agreeable1_gmc,0.00,,,,,
sThreat3_gmc_x_rThreatIG2_gmc,0.00,,,,,
sThreat3_gmc_x_rThreatOG1_gmc,0.00,,,,,
sThreat3_gmc_x_rThreatOG2_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustP1_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustP2_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustP3_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustP4_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustP6_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustS1_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustS2_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustS3_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustS4_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustR1_gmc,0.00,,,,,
sThreat3_gmc_x_DisgustR2_gmc,0.00,,,,,
sThreat3_gmc_x_symbolic_gmc,0.00,,,,,
sThreat3_gmc_x_identification_sol_gmc,0.00,,,,,
sThreat3_gmc_x_identification_sat_gmc,0.00,,,,,
sThreat3_gmc_x_identification_cen_gmc,0.00,,,,,
sThreat3_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
sThreat3_gmc_x_contact_quality_gmc,0.00,,,,,
sThreat3_gmc_x_contact_friends_gmc,0.00,,,,,
sThreat3_gmc_x_contact_friendsz_gmc,0.00,,,,,
sThreat3_gmc_x_b5a_gmc,0.00,,,,,
sThreat3_gmc_x_generalized_challdiff_gmc,0.00,,,,,
sThreat3_gmc_x_generalized_probdiff_gmc,0.00,,,,,
sThreat3_gmc_x_generalized_gmc,0.00,,,,,
sThreat3_gmc_x_disgust_p_gmc,0.00,,,,,
sThreat3_gmc_x_disgust_s_gmc,0.00,,,,,
sThreat3_gmc_x_disgust_r_gmc,0.00,,,,,
sThreat4_gmc_x_Identification1_gmc,0.00,,,,,
sThreat4_gmc_x_Identification2_gmc,0.00,,,,,
sThreat4_gmc_x_Identification3_gmc,0.00,,,,,
sThreat4_gmc_x_Identification4_gmc,0.00,,,,,
sThreat4_gmc_x_Identification5_gmc,0.00,,,,,
sThreat4_gmc_x_Identification6_gmc,0.00,,,,,
sThreat4_gmc_x_Identification7_gmc,0.00,,,,,
sThreat4_gmc_x_Identification8_gmc,0.00,,,,,
sThreat4_gmc_x_Identification9_gmc,0.00,,,,,
sThreat4_gmc_x_Identification10_gmc,0.00,,,,,
sThreat4_gmc_x_ContactQ1_gmc,0.00,,,,,
sThreat4_gmc_x_ContactQ2_gmc,0.00,,,,,
sThreat4_gmc_x_ContactQ3_gmc,0.00,,,,,
sThreat4_gmc_x_ContactN1_gmc,0.00,,,,,
sThreat4_gmc_x_Agreeable1_gmc,0.00,,,,,
sThreat4_gmc_x_Agreeable2_gmc,0.00,,,,,
sThreat4_gmc_x_rThreatIG1_gmc,0.00,,,,,
sThreat4_gmc_x_rThreatIG2_gmc,0.00,,,,,
sThreat4_gmc_x_rThreatOG1_gmc,0.00,,,,,
sThreat4_gmc_x_rThreatOG2_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP1_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP2_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP3_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP4_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP5_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustP6_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustS1_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustS2_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustS3_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustS4_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustR1_gmc,0.00,,,,,
sThreat4_gmc_x_DisgustR2_gmc,0.00,,,,,
sThreat4_gmc_x_symbolic_gmc,0.00,,,,,
sThreat4_gmc_x_identification_sol_gmc,0.00,,,,,
sThreat4_gmc_x_identification_sat_gmc,0.00,,,,,
sThreat4_gmc_x_identification_cen_gmc,0.00,,,,,
sThreat4_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
sThreat4_gmc_x_contact_quality_gmc,0.00,,,,,
sThreat4_gmc_x_contact_friends_gmc,0.00,,,,,
sThreat4_gmc_x_contact_friendsz_gmc,0.00,,,,,
sThreat4_gmc_x_b5a_gmc,0.00,,,,,
sThreat4_gmc_x_generalized_challdiff_gmc,0.00,,,,,
sThreat4_gmc_x_generalized_probdiff_gmc,0.00,,,,,
sThreat4_gmc_x_generalized_gmc,0.00,,,,,
sThreat4_gmc_x_disgust_p_gmc,0.00,,,,,
sThreat4_gmc_x_disgust_s_gmc,0.00,,,,,
sThreat4_gmc_x_disgust_r_gmc,0.00,,,,,
Identification1_gmc_x_Identification2_gmc,0.00,,,,,
Identification1_gmc_x_Identification3_gmc,0.00,,,,,
Identification1_gmc_x_Identification4_gmc,0.00,,,,,
Identification1_gmc_x_Identification5_gmc,0.00,,,,,
Identification1_gmc_x_Identification7_gmc,0.00,,,,,
Identification1_gmc_x_Identification9_gmc,0.00,,,,,
Identification1_gmc_x_Identification10_gmc,0.00,,,,,
Identification1_gmc_x_ContactQ1_gmc,0.00,,,,,
Identification1_gmc_x_ContactQ2_gmc,0.00,,,,,
Identification1_gmc_x_ContactQ3_gmc,0.00,,,,,
Identification1_gmc_x_ContactN1_gmc,0.00,,,,,
Identification1_gmc_x_Agreeable1_gmc,0.00,,,,,
Identification1_gmc_x_Agreeable2_gmc,0.00,,,,,
Identification1_gmc_x_rThreatIG1_gmc,0.00,,,,,
Identification1_gmc_x_rThreatIG2_gmc,0.00,,,,,
Identification1_gmc_x_rThreatOG1_gmc,0.00,,,,,
Identification1_gmc_x_rThreatOG2_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP1_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP2_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP3_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP4_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP5_gmc,0.00,,,,,
Identification1_gmc_x_DisgustP6_gmc,0.00,,,,,
Identification1_gmc_x_DisgustS1_gmc,0.00,,,,,
Identification1_gmc_x_DisgustS2_gmc,0.00,,,,,
Identification1_gmc_x_DisgustS3_gmc,0.00,,,,,
Identification1_gmc_x_DisgustS4_gmc,0.00,,,,,
Identification1_gmc_x_DisgustR1_gmc,0.00,,,,,
Identification1_gmc_x_DisgustR2_gmc,0.00,,,,,
Identification1_gmc_x_symbolic_gmc,0.00,,,,,
Identification1_gmc_x_identification_sol_gmc,0.00,,,,,
Identification1_gmc_x_identification_sat_gmc,0.00,,,,,
Identification1_gmc_x_identification_cen_gmc,0.00,,,,,
Identification1_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
Identification1_gmc_x_contact_quality_gmc,0.00,,,,,
Identification1_gmc_x_contact_friends_gmc,0.00,,,,,
Identification1_gmc_x_contact_friendsz_gmc,0.00,,,,,
Identification1_gmc_x_b5a_gmc,0.00,,,,,
Identification1_gmc_x_generalized_challdiff_gmc,0.00,,,,,
Identification1_gmc_x_generalized_probdiff_gmc,0.00,,,,,
Identification1_gmc_x_generalized_gmc,0.00,,,,,
Identification1_gmc_x_disgust_p_gmc,0.00,,,,,
Identification1_gmc_x_disgust_s_gmc,0.00,,,,,
Identification1_gmc_x_disgust_r_gmc,0.00,,,,,
Identification2_gmc_x_Identification3_gmc,0.00,,,,,
Identification2_gmc_x_Identification4_gmc,0.00,,,,,
Identification2_gmc_x_Identification5_gmc,0.00,,,,,
Identification2_gmc_x_Identification6_gmc,0.00,,,,,
Identification2_gmc_x_Identification7_gmc,0.00,,,,,
Identification2_gmc_x_Identification8_gmc,0.00,,,,,
Identification2_gmc_x_Identification9_gmc,0.00,,,,,
Identification2_gmc_x_Identification10_gmc,0.00,,,,,
Identification2_gmc_x_ContactQ1_gmc,0.00,,,,,
Identification2_gmc_x_ContactQ2_gmc,0.00,,,,,
Identification2_gmc_x_ContactQ3_gmc,0.00,,,,,
Identification2_gmc_x_ContactN1_gmc,0.00,,,,,
Identification2_gmc_x_Agreeable1_gmc,0.00,,,,,
Identification2_gmc_x_Agreeable2_gmc,0.00,,,,,
Identification2_gmc_x_rThreatIG2_gmc,0.00,,,,,
Identification2_gmc_x_rThreatOG1_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP1_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP2_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP3_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP4_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP5_gmc,0.00,,,,,
Identification2_gmc_x_DisgustP6_gmc,0.00,,,,,
Identification2_gmc_x_DisgustS1_gmc,0.00,,,,,
Identification2_gmc_x_DisgustS2_gmc,0.00,,,,,
Identification2_gmc_x_DisgustS3_gmc,0.00,,,,,
Identification2_gmc_x_DisgustS4_gmc,0.00,,,,,
Identification2_gmc_x_DisgustR1_gmc,0.00,,,,,
Identification2_gmc_x_DisgustR2_gmc,0.00,,,,,
Identification2_gmc_x_symbolic_gmc,0.00,,,,,
Identification2_gmc_x_identification_sol_gmc,0.00,,,,,
Identification2_gmc_x_identification_sat_gmc,0.00,,,,,
Identification2_gmc_x_identification_cen_gmc,0.00,,,,,
Identification2_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
Identification2_gmc_x_contact_quality_gmc,0.00,,,,,
Identification2_gmc_x_contact_friends_gmc,0.00,,,,,
Identification2_gmc_x_contact_friendsz_gmc,0.00,,,,,
Identification2_gmc_x_b5a_gmc,0.00,,,,,
Identification2_gmc_x_generalized_challdiff_gmc,0.00,,,,,
Identification2_gmc_x_generalized_probdiff_gmc,0.00,,,,,
Identification2_gmc_x_generalized_gmc,0.00,,,,,
Identification2_gmc_x_disgust_p_gmc,0.00,,,,,
Identification2_gmc_x_disgust_s_gmc,0.00,,,,,
Identification2_gmc_x_disgust_r_gmc,0.00,,,,,
Identification3_gmc_x_Identification4_gmc,0.00,,,,,
Identification3_gmc_x_Identification5_gmc,0.00,,,,,
Identification3_gmc_x_Identification6_gmc,0.00,,,,,
Identification3_gmc_x_Identification7_gmc,0.00,,,,,
Identification3_gmc_x_Identification8_gmc,0.00,,,,,
Identification3_gmc_x_Identification9_gmc,0.00,,,,,
Identification3_gmc_x_Identification10_gmc,0.00,,,,,
Identification3_gmc_x_ContactQ1_gmc,0.00,,,,,
Identification3_gmc_x_ContactQ2_gmc,0.00,,,,,
Identification3_gmc_x_ContactQ3_gmc,0.00,,,,,
Identification3_gmc_x_ContactN1_gmc,0.00,,,,,
Identification3_gmc_x_Agreeable1_gmc,0.00,,,,,
Identification3_gmc_x_Agreeable2_gmc,0.00,,,,,
Identification3_gmc_x_rThreatIG1_gmc,0.00,,,,,
Identification3_gmc_x_rThreatIG2_gmc,0.00,,,,,
Identification3_gmc_x_rThreatOG1_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP1_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP2_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP3_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP4_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP5_gmc,0.00,,,,,
Identification3_gmc_x_DisgustP6_gmc,0.00,,,,,
Identification3_gmc_x_DisgustS1_gmc,0.00,,,,,
Identification3_gmc_x_DisgustS2_gmc,0.00,,,,,
Identification3_gmc_x_DisgustS3_gmc,0.00,,,,,
Identification3_gmc_x_DisgustS4_gmc,0.00,,,,,
Identification3_gmc_x_DisgustR1_gmc,0.00,,,,,
Identification3_gmc_x_DisgustR2_gmc,0.00,,,,,
Identification3_gmc_x_identification_sol_gmc,0.00,,,,,
Identification3_gmc_x_identification_sat_gmc,0.00,,,,,
Identification3_gmc_x_identification_cen_gmc,0.00,,,,,
Identification3_gmc_x_identification_selfinvestment_gmc,0.00,,,,,
Identification3_gmc_x_contact_quality_gmc,0.00,,,,,
Identification3_gmc_x_contact_friends_gmc,0.00,,,,,
Identification3_gmc_x_contact_friendsz_gmc,0.00,,,,,
Identification3_gmc_x_b5a_gmc,0.00,,,,,
Identification3_gmc_x_generalized_challdiff_gmc,0.00,,,,,
Identification3_gmc_x_generalized_probdiff_gmc,0.00,,,,,
Identification3_gmc_x_generalized_gmc,0.00,,,,,
Identification3_gmc_x_disgust_p_gmc,0.00,,,,,
Identification3_gmc_x_disgust_s_gmc,0.00,,,,,
Identification3_gmc_x_disgust_r_gmc,0.00,,,,,
Identification4_gmc_x_Identification6_gmc,0.00,,,,,
Identification4_gmc_x_Identification7_gmc,0.00,,,,,
Identification4_gmc_x_Identification8_gmc,0.00,,,,,
Identification4_gmc_x_Identification9_gmc,0.00,,,,,
Identification4_gmc_x_Identification10_gmc,0.00,,,,,
Identification4_gmc_x_ContactQ1_gmc,0.00,,,,,
Identification4_gmc_x_ContactQ2_gmc,0.00,,,,,
Identification4_gmc_x_ContactQ3_gmc,0.00,,,,,
Identification4_gmc_x_ContactN1_gmc,0.00,,,,,
Identification4_gmc_x_Agreeable1_gmc,0.00,,,,,
Identification4_gmc_x_Agreeable2_gmc,0.00,,,,,
Identification4_gmc_x_rThreatIG2_gmc,0.00,,,,,
Identification4_gmc_x_rThreatOG1_gmc,0.00,,,,,
Identification4_gmc_x_rThreatOG2_gmc,0.00,,,,,
Identification4_gmc_x_DisgustP2_gmc,0.00,,,,,
Identification4_gmc_x_DisgustP3_gmc,0.00,,,,,
Identification4_gmc_x_DisgustP4_gmc,0.00,,,,,
Identification4_gmc_x_DisgustP5_gmc,0.00,,,,,
Identification4_gmc_x_DisgustP6_gmc,0.00,,,,,
Identification4_gmc_x_DisgustS1_gmc,0.00,,,,,
Identification4_gmc_x_DisgustS2_gmc,0.00,,,,,
Identification4_gmc_x_DisgustS3_gmc,0.00,,,,,
Identification4_gmc_x_DisgustS4_gmc,0.00,,,,,
