Bias,OutgroupAttitudes,SymbolicThreat,ValuesThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
0.20839316,-0.265362334,-0.70878142,-1.14099906,0.27418669,0.2376141375,0.1472118348,0.24546982,-1.62780269
-0.11180619,0.93727418,-0.74885049,-1.03133343,-0.66304434,-0.2934536957,1.0575469441,1.01073615,2.37219731
-1.10175114,0.93727418,-0.70878142,-1.03133343,-0.89428657,-3.3584465799,-1.0669324262,0.98518494,1.37219731
-1.09105887,1.247083142,-0.74885049,-1.03133343,0.34718006,-0.8821694496,0.0622847578,0.95963374,0.37219731
5.82786352,-3.915810061,5.13271502,5.03301522,-1.51501989,6.8410198183,2.3138779448,-4.17676605,-1.62780269
-0.11180619,-0.033342669,1.33386759,2.11050652,0.04294447,-1.1188794058,-0.1454164292,-1.15269605,1.37219731
-0.47204472,1.598082066,-0.30681534,-0.4926211,-1.51501989,1.0630398476,1.9711927321,0.33236382,0.37219731
1.86808371,-1.003959517,-0.54651611,3.08788136,0.34718006,0.0009041813,1.1379436871,-0.09795508,-0.62780269
-0.11180619,1.907891028,-0.50843606,2.43950341,0.96791338,-3.889514413,0.3249712943,0.98518494,1.37219731
-0.11180619,-1.003959517,-0.70878142,-1.03133343,0.27418669,0.7686819707,1.3226496366,-0.6145427,-0.62780269
-0.11180619,0.93727418,-0.70878142,-1.03133343,0.34718006,0.2376141375,0.7358366337,0.08653297,-0.62780269
0.56863169,-0.462130889,0.2714795,1.35246294,0.34718006,1.8884655577,0.9715237955,0.08653297,-0.62780269
-0.47204472,0.705254514,-0.70878142,-1.03133343,-0.20055989,0.7686819707,-0.4790604923,0.73935409,0.37219731
-0.11180619,-0.033342669,0.2714795,-0.38295548,0.1889312,-1.9443051159,-0.7070238611,-0.73546539,0.37219731
0.51790023,0.627465217,-0.70878142,-0.38295548,0.57842229,7.0777297745,-0.2663816841,0.93408253,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.05253543,-5.2460079563,-1.0023932031,0.93408253,-0.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.96791338,1.5941076808,0.3206972796,1.06183855,4.37219731
1.50784518,-0.575171296,0.13521982,-0.71195236,-0.82129321,-1.6499472389,1.1816315204,-0.98351881,-0.62780269
-0.42131326,-0.462130889,-0.66871235,-1.03133343,0.57842229,0.2376141375,-0.4332554153,-0.55097734,0.37219731
-2.72140251,0.079697738,-0.74885049,-1.03133343,0.11593783,-6.3657915433,-2.5071379098,0.98518494,1.37219731
-0.11180619,1.907891028,-0.70878142,-1.03133343,0.96791338,0.2376141375,2.296581882,0.35791503,1.37219731
-0.11180619,-0.033342669,-0.13048658,-0.27328985,0.73667115,0.2376141375,1.4142001535,0.08653297,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.14099906,0.34718006,0.2376141375,-0.3986202361,0.95963374,0.37219731
-0.11180619,-1.003959517,-0.70878142,-1.03133343,-0.89428657,0.2376141375,-1.7970977697,0.95963374,0.37219731
-0.11180619,1.907891028,-0.74885049,-1.25066468,-0.43180212,0.2376141375,0.1062549605,0.93408253,-0.62780269
-1.14179033,-0.265362334,-0.74885049,-1.03133343,-0.11530439,-0.5878115726,-0.9571161328,0.49130067,-0.62780269
0.87813876,-0.033342669,-0.66672333,-1.14099906,-0.50479548,0.2376141375,1.4927078046,-0.29268353,0.37219731
-0.79224407,-0.343151631,-0.66871235,-1.03133343,-0.11530439,-2.2386629928,-0.8186468478,-0.57652854,-0.62780269
-0.7815518,-0.265362334,-0.74885049,-1.03133343,-0.11530439,2.3618854701,-1.4819491778,-0.09795508,-0.62780269
-1.72076529,0.276466294,-0.70878142,1.35246294,0.11593783,-4.7149401231,-0.6262110057,0.73935409,0.37219731
-0.11180619,0.473234849,-0.74885049,-1.03133343,0.34718006,-4.6572922024,-0.5209173596,0.29657223,0.37219731
0.56863169,0.276466294,2.80560447,3.51692806,-1.28377766,2.4771813116,2.309661898,-0.13374668,-0.62780269
-0.11180619,0.705254514,-0.06043384,4.0652562,-0.11530439,-1.8866571951,-0.7680392666,0.11208417,0.37219731
-0.11180619,-1.003959517,-0.66871235,-1.14099906,0.34718006,-0.5878115726,-2.3046153131,-0.7865678,-1.62780269
-0.11180619,1.3660624,-0.70878142,-1.03133343,0.57842229,0.2376141375,1.7627497324,1.03628735,3.37219731
-0.47204472,0.276466294,-0.74885049,-1.03133343,0.57842229,0.2376141375,-0.8584619664,0.93408253,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-0.66304434,2.3618854701,-0.3133104264,0.0229676,-1.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.96791338,0.2376141375,2.3180939917,0.98518494,1.37219731
-0.42131326,-0.033342669,-0.13048658,-0.60228673,-0.43180212,-3.0064407822,-1.0356070898,0.73935409,0.37219731
-0.43200554,1.169293845,-0.74885049,-1.03133343,0.27418669,3.4240211364,-0.1203904544,0.93408253,-0.62780269
-1.7928813,0.198676997,-0.74885049,1.13313169,-0.27355326,-1.6499472389,-1.2682349218,1.01073615,2.37219731
2.85802866,-1.003959517,-0.66871235,2.0008409,0.57842229,0.2376141375,0.818019002,0.02519017,-1.62780269
-0.11180619,0.93727418,0.23141043,-0.27328985,0.73667115,0.2376141375,0.5768261781,0.08653297,-0.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.73667115,0.2376141375,2.3180939917,1.01073615,2.37219731
-1.41125821,-0.265362334,0.55124934,-1.14099906,-0.89428657,-3.889514413,-1.0760761956,-0.91995344,0.37219731
0.87813876,-1.003959517,-0.74885049,-1.03133343,-0.43180212,0.2376141375,1.1538139916,0.90853133,-1.62780269
0.51790023,0.198676997,0.86383778,2.11050652,0.57842229,-3.0640887029,0.9174184707,0.11208417,0.37219731
0.51790023,-1.003959517,0.31154857,0.37508811,0.34718006,0.2376141375,0.1574793652,-1.59325534,1.37219731
-0.11180619,0.93727418,-0.70878142,-1.03133343,0.34718006,-0.5878115726,-0.4931742114,-0.70991418,1.37219731
0.24843234,0.93727418,-0.74885049,-1.03133343,0.96791338,-1.1188794058,0.7355869489,0.34767464,2.37219731
-0.11180619,1.247083142,-0.70878142,-1.03133343,0.11593783,2.3618854701,0.4968379605,0.68825168,-1.62780269
-0.11180619,-1.003959517,-0.66871235,-1.03133343,0.34718006,0.2376141375,-0.9637764083,0.06098177,-1.62780269
-0.11180619,-1.003959517,0.23141043,1.35246294,-0.89428657,1.0053919269,0.4193521825,-0.55097734,0.37219731
3.17822801,-2.945193213,0.71550368,2.0008409,-0.11530439,-2.769730826,0.6492386624,-1.22934966,-1.62780269
-3.76207893,1.907891028,-0.74885049,-1.03133343,0.96791338,-0.5878115726,-1.2134292018,0.30681262,-0.62780269
-3.45257186,1.598082066,-0.74885049,-1.03133343,-0.89428657,-3.889514413,-1.3302219599,0.98518494,1.37219731
2.17759078,-1.003959517,-0.74885049,-1.14099906,0.34718006,0.2376141375,2.2191664587,0.24546982,-1.62780269
-0.11180619,0.93727418,-0.74885049,-1.03133343,-0.04231103,0.2376141375,-0.1887035833,0.73935409,0.37219731
0.56863169,1.247083142,-0.70878142,-0.27328985,-0.43180212,-0.2934536957,0.6598381283,0.93408253,-0.62780269
-0.11180619,0.93727418,-0.66871235,-1.03133343,0.57842229,0.2376141375,0.2726315258,0.98518494,1.37219731
-0.11180619,-0.033342669,-0.14455003,-0.27328985,0.34718006,0.7686819707,-0.1711445857,-1.41383771,-1.62780269
-0.11180619,-1.432747737,0.80771624,2.64921885,-1.1255288,1.8884655577,-0.1699141623,0.14787577,0.37219731
-0.11180619,0.93727418,1.17160227,2.11050652,-0.89428657,0.2376141375,0.2590125992,0.08653297,-0.62780269
-0.79224407,0.93727418,-0.74885049,-1.14099906,0.34718006,-2.2386629928,-0.6104473769,0.11208417,0.37219731
-0.11180619,1.907891028,-0.66871235,-1.46999594,-0.89428657,0.2376141375,2.3180939917,-0.54073694,-0.62780269
-0.11180619,-1.003959517,-0.13048658,-1.03133343,-0.89428657,-3.0640887029,0.5729184917,0.27102102,-0.62780269
-3.04160186,1.479102807,-0.70878142,-1.03133343,0.27418669,-0.0567437395,-1.611280986,-0.26428447,4.37219731
-0.11180619,-1.003959517,-0.66871235,-0.27328985,-0.50479548,1.0053919269,-0.6460479781,-0.32847512,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.57842229,0.2376141375,-0.5209173596,-0.36648928,0.37219731
1.86808371,-0.033342669,1.25174042,-0.38295548,-0.11530439,2.4195333909,2.3138779448,0.11208417,0.37219731
0.19770088,-1.003959517,0.67344558,2.0008409,-0.50479548,-0.8245215288,0.4982136262,-1.77774339,1.37219731
0.87813876,0.93727418,-0.30681534,1.35246294,0.73667115,-0.2934536957,2.0796588307,0.11208417,0.37219731
-1.41125821,0.276466294,-0.21062473,0.26542248,-0.11530439,-1.1188794058,-1.0875523872,0.74959448,-0.62780269
-1.72076529,-0.694150555,-0.70878142,-1.03133343,-1.51501989,0.2376141375,-0.6402346655,-0.96820799,1.37219731
-0.11180619,0.93727418,-0.13048658,-0.38295548,-0.27355326,1.5941076808,0.3174223036,-0.30514648,1.37219731
-1.46198968,1.3660624,-0.25268282,0.70408499,0.96791338,0.2376141375,-0.1454164292,0.32212343,1.37219731
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.96791338,0.2376141375,0.4216284541,0.90853133,-1.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-0.43180212,-2.769730826,-1.2889719483,0.34767464,2.37219731
-0.11180619,1.907891028,-0.58459616,-1.25066468,0.34718006,0.2376141375,0.4879249151,0.98518494,1.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.28377766,-3.889514413,-1.6757150027,-0.53049655,-1.62780269
-0.11180619,-1.003959517,2.3561866,2.0008409,-1.51501989,0.2376141375,1.6980367706,0.24546982,-1.62780269
-0.11180619,-1.003959517,-0.70878142,-1.03133343,-0.66304434,0.2376141375,-1.0739378654,-0.76101659,-0.62780269
-4.12231746,1.907891028,-0.70878142,-1.03133343,0.73667115,-3.0640887029,-2.1245573054,1.01073615,2.37219731
-2.0916961,1.907891028,-0.74885049,-1.03133343,0.34718006,-3.3584465799,-1.0608865054,0.93408253,-0.62780269
2.85802866,-2.945193213,2.92780071,0.04609122,-0.11530439,6.2523040644,-0.0756038066,-1.64658032,-0.62780269
-0.11180619,0.93727418,-0.26674627,-1.14099906,0.34718006,-0.8821694496,0.8426905136,0.27102102,-0.62780269
-0.11180619,-1.003959517,-0.70878142,3.19754699,0.34718006,-0.5878115726,0.365158525,-0.94550464,-0.62780269
-0.74151261,-1.003959517,-0.70878142,-1.03133343,-0.11530439,-3.0064407822,-1.6313848945,-0.52542613,1.37219731
0.87813876,-1.003959517,-0.70878142,-0.16362422,-0.50479548,1.0630398476,-0.2613474811,-1.04486161,-1.62780269
4.83791856,-2.945193213,3.65628643,3.2975968,0.34718006,5.1901683981,1.2602728815,-1.63411736,-1.62780269
2.85802866,-1.003959517,1.62571185,0.37508811,0.73667115,1.3573977246,2.2318145992,0.98518494,1.37219731
0.87813876,-1.003959517,1.74790809,2.0008409,-0.11530439,-0.2934536957,1.1991436799,-1.63411736,-1.62780269
-0.11180619,-1.003959517,-0.70878142,-1.03133343,0.34718006,0.2376141375,-1.5052658919,-0.73546539,0.37219731
5.51835644,-3.915810061,4.67661643,5.14268085,-1.1255288,6.2523040644,0.9279773585,-1.57277456,-0.62780269
2.85802866,-1.974576365,3.13212411,2.86855011,-1.28377766,1.3573977246,1.4068501807,-1.19355806,-1.62780269
1.86808371,-1.974576365,2.19193227,2.0008409,0.57842229,1.0630398476,2.0592558142,-1.0806532,-1.62780269
-0.11180619,1.907891028,-0.46239992,-1.03133343,0.96791338,0.2376141375,1.053360443,0.98518494,1.37219731
-2.0916961,0.93727418,-0.70878142,-1.03133343,0.11593783,0.2376141375,-0.5052964341,-0.97105585,-1.62780269
-0.42131326,-0.694150555,-0.50843606,-1.03133343,-0.04231103,-0.3511016164,-0.8167262058,0.56795428,2.37219731
-0.15184538,-1.235979182,0.68552,-1.14099906,-0.89428657,0.2376141375,-1.3395624069,0.07629258,0.37219731
-0.11180619,-1.003959517,0.19134136,-0.27328985,-0.11530439,0.2376141375,-0.4016889904,0.11208417,0.37219731
-1.46198968,0.93727418,-0.70878142,-0.27328985,-1.28377766,2.950601224,0.1132879004,0.95963374,0.37219731
-0.11180619,-0.07453263,-0.62864328,-1.03133343,0.57842229,0.2376141375,-0.2507296062,0.51685188,0.37219731
-3.08164105,1.907891028,-0.74885049,-1.03133343,0.57842229,-3.0640887029,-2.2043975102,0.95963374,0.37219731
0.87813876,-1.974576365,0.43374481,0.48475373,-0.11530439,1.0630398476,-0.6422565783,-1.79305421,-0.62780269
-0.11180619,-0.033342669,-0.74885049,-1.03133343,0.96791338,3.4240211364,-1.0803060985,1.01073615,2.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.34718006,0.2376141375,-1.9050042018,-0.29268353,0.37219731
1.86808371,-2.945193213,2.67602552,0.37508811,-0.66304434,-0.8821694496,-0.3581287474,-2.45611572,-0.62780269
-0.11180619,0.93727418,-0.74885049,-1.03133343,0.57842229,0.2376141375,-0.8535801341,0.95963374,0.37219731
-0.11180619,1.907891028,-0.50644704,-1.03133343,-0.20055989,0.2376141375,0.7129704974,-0.17176084,-0.62780269
5.82786352,-3.915810061,3.86401451,5.14268085,0.96791338,6.0155941082,2.3180939917,-3.51370454,-1.62780269
-0.11180619,0.93727418,-0.74885049,-1.03133343,0.73667115,0.2376141375,0.1781728674,0.95963374,0.37219731
-1.1524826,-0.343151631,2.15186319,2.0008409,0.96791338,-0.2934536957,0.7023785652,-0.73546539,0.37219731
-0.11180619,1.907891028,1.15568205,5.03301522,0.57842229,0.2376141375,0.3402896809,0.93408253,-0.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.96791338,0.2376141375,-0.1842246018,0.95963374,0.37219731
-3.40184039,1.479102807,-0.70878142,-1.03133343,-0.66304434,-0.6454594934,-1.832986394,1.01073615,2.37219731
-0.11180619,1.907891028,2.84567354,2.64921885,0.11593783,-3.5375086153,-0.0838265856,0.38346623,2.37219731
-0.09315156,-1.278517369,2.42964402,-0.27328985,-0.43180212,-0.5878115726,0.8346678005,-0.60207974,-1.62780269
-0.11180619,0.93727418,-0.70878142,-1.03133343,0.96791338,-1.1188794058,0.31057565,0.11208417,0.37219731
-0.11180619,-1.003959517,2.19193227,2.0008409,-0.27355326,-0.2934536957,-0.1454164292,-1.55746375,1.37219731
-1.10175114,0.93727418,-0.74885049,-1.03133343,-0.20055989,-1.4132372827,-1.122090943,1.01073615,2.37219731
-0.11180619,-1.003959517,-0.54651611,0.59441936,-0.66304434,0.4743240937,-0.7594502514,-0.76101659,-0.62780269
3.53846654,-2.20659603,1.29180949,2.22017215,0.34718006,-1.8866571951,1.694277922,-0.57652854,-0.62780269
-0.11180619,-1.003959517,-0.70878142,-1.03133343,-1.1255288,3.1873111802,-1.4079808676,-0.71276204,-1.62780269
-0.11180619,0.93727418,-0.70878142,-1.03133343,0.73667115,-1.1188794058,1.590755627,0.06098177,-1.62780269
-0.10111391,1.247083142,-0.26475724,-1.03133343,0.73667115,-3.5951565361,0.8262596115,0.24546982,-1.62780269
-0.11180619,1.907891028,-0.70878142,-1.14099906,-0.11530439,-0.8821694496,-0.2867439784,0.93408253,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-0.82129321,-3.6528044568,-2.4296347083,0.32212343,1.37219731
-1.10175114,1.907891028,-0.74885049,-1.03133343,0.34718006,-0.5878115726,0.6830454834,0.93408253,-0.62780269
1.86808371,-1.003959517,0.2714795,-0.60228673,-0.66304434,1.5941076808,0.7229994442,-1.63411736,-1.62780269
-0.42131326,0.508485959,-0.70878142,-1.03133343,0.73667115,0.2376141375,0.5184164737,0.08653297,-0.62780269
1.86808371,-1.003959517,1.57157933,0.26542248,-0.04231103,4.0127368903,1.0519084638,-0.77347955,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.1889312,0.2376141375,-0.5771975155,0.93408253,-0.62780269
-1.10175114,0.93727418,-0.74885049,-1.03133343,0.57842229,0.2376141375,-1.3890545647,0.95963374,0.37219731
-0.11180619,1.907891028,-0.74885049,-1.03133343,-0.34654662,0.4743240937,-0.1350047245,-0.34093808,1.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-0.04231103,0.2376141375,-0.4275605129,-0.39204049,-0.62780269
1.82804453,-0.265362334,2.12187952,-0.82161799,0.73667115,4.8958105212,1.8080573935,-0.9937592,0.37219731
-1.10175114,-0.033342669,-0.74885049,-1.03133343,0.34718006,0.2376141375,-1.5513637701,-0.09795508,-0.62780269
-0.11180619,-0.694150555,0.19134136,-0.38295548,0.34718006,0.2376141375,-0.1564173862,0.11208417,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.34718006,-4.7149401231,-2.3690983294,0.30681262,-0.62780269
-0.11180619,-1.313768479,0.2714795,0.48475373,-0.11530439,0.2376141375,-0.3798453177,-1.00684744,-1.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,-0.43180212,0.2376141375,-2.225644064,0.90853133,-1.62780269
-0.11180619,0.621526366,-0.74885049,4.93296541,0.27418669,0.2376141375,-1.4684714871,0.73935409,0.37219731
-0.83228326,-0.575171296,-0.17055565,-0.38295548,0.34718006,-2.769730826,-0.700002051,-0.68436298,2.37219731
-0.11180619,-1.003959517,-0.70878142,-1.03133343,-0.43180212,0.2376141375,0.004694385,0.11208417,0.37219731
0.87813876,-0.033342669,0.39367574,-0.38295548,0.96791338,1.5941076808,-0.0054870326,-0.54073694,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.34718006,0.2376141375,-0.3646419105,0.93408253,-0.62780269
-1.10175114,1.907891028,-0.74885049,-1.03133343,0.96791338,-2.2386629928,0.535008031,1.01073615,2.37219731
-0.11180619,-1.003959517,2.19193227,2.0008409,-0.34654662,0.2376141375,-1.2844153111,-1.60856615,-0.62780269
0.24843234,1.169293845,-0.70878142,-1.03133343,-0.59005098,2.3618854701,0.9234800768,0.73935409,0.37219731
-0.11180619,-1.235979182,0.2714795,-1.03133343,-1.1255288,-0.2934536957,1.1647955294,-1.60856615,-0.62780269
-0.15184538,0.395445552,0.2714795,-0.27328985,-0.66304434,1.0630398476,0.4643942876,0.11208417,0.37219731
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.73667115,0.2376141375,-1.2849469807,-0.41981426,-1.62780269
-2.0916961,1.907891028,-0.74885049,-1.03133343,0.96791338,-6.3657915433,-2.6089268501,0.90853133,-1.62780269
-0.11180619,0.93727418,0.7275781,1.24279732,0.57842229,-0.0567437395,1.2525203294,0.60596845,2.37219731
-0.11180619,1.907891028,-0.74885049,-1.03133343,0.34718006,0.2376141375,-0.7426981076,0.93408253,-0.62780269
-3.08164105,1.907891028,-0.74885049,-1.03133343,-0.11530439,3.244959101,-1.5302344516,0.93408253,-0.62780269
-0.7815518,-1.003959517,1.29180949,1.24279732,-0.27355326,2.950601224,-0.9684243379,-2.89889758,-0.62780269
3.17822801,-1.235979182,4.18385343,5.25234648,0.11593783,4.1280327318,2.309661898,-2.61505256,0.37219731
0.46716877,-1.003959517,2.77221613,3.08788136,-0.34654662,1.8884655577,0.5228320766,-1.1913355,-1.62780269
2.85802866,-1.003959517,2.19193227,2.0008409,0.96791338,3.5393169779,2.3180939917,-1.60856615,-0.62780269
0.87813876,0.93727418,4.89230059,3.2975968,0.27418669,-0.2934536957,1.8000020791,0.93408253,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.34718006,0.2376141375,-1.9050042018,0.95963374,0.37219731
2.54852159,-2.403364585,2.60597277,1.02346606,0.34718006,2.4195333909,0.1420556886,-0.98129624,-0.62780269
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.51501989,0.2376141375,0.6267217372,0.93408253,-0.62780269
-0.11180619,-1.003959517,-0.62864328,2.22017215,0.1889312,1.830817637,-0.29156675,0.08653297,-0.62780269
-0.11180619,1.907891028,-0.74885049,-1.03133343,-0.11530439,0.2376141375,1.9341179142,0.93408253,-0.62780269
-0.11180619,-0.694150555,-0.62864328,-1.03133343,0.73667115,0.2376141375,-0.144565109,0.27324359,-0.62780269
-0.11180619,-1.003959517,-0.62864328,-1.03133343,-0.50479548,0.2376141375,-2.6047108033,0.95963374,0.37219731
-0.15184538,0.705254514,-0.74885049,-1.03133343,0.96791338,2.8929533033,-0.5400468992,0.29657223,0.37219731
0.24843234,0.508485959,-0.70878142,-1.14099906,-1.1255288,-1.1188794058,1.3604997319,-0.54073694,-0.62780269
-0.11180619,-0.033342669,-0.58658518,-0.38295548,0.34718006,-1.9443051159,-0.1615784348,-0.83482235,-0.62780269
-0.11180619,1.907891028,-0.66871235,-1.03133343,-0.11530439,0.2376141375,1.4588836115,0.74959448,-0.62780269
-0.11180619,0.198676997,0.2714795,-0.27328985,0.96791338,1.2997498038,-0.0095889776,0.11208417,0.37219731
0.87813876,-0.033342669,1.15554981,-0.27328985,0.34718006,0.2376141375,0.1117315462,-0.08264427,1.37219731
-0.11180619,0.009195518,-0.09041751,-1.14099906,0.34718006,0.2376141375,1.2281468124,0.16318658,2.37219731
-4.06089372,1.015063476,-0.74885049,0.59441936,-0.89428657,-1.4132372827,-2.5920626628,0.34767464,2.37219731
-0.11180619,0.508485959,0.71550368,0.48475373,0.34718006,0.2376141375,1.4800596641,0.29657223,0.37219731
-0.11180619,-1.003959517,-0.70878142,-1.03133343,-0.43180212,1.5941076808,0.2345125422,-0.73546539,0.37219731
-0.11180619,1.907891028,-0.70878142,-1.03133343,-0.82129321,0.2376141375,-1.0607740983,0.98518494,1.37219731
0.87813876,0.93727418,-0.66672333,-0.4926211,0.96791338,0.0009041813,2.1637250526,0.93408253,-0.62780269
-1.10175114,1.247083142,-0.74885049,-1.03133343,0.34718006,0.7686819707,-1.0801316375,0.07629258,0.37219731
-4.75202388,1.907891028,-0.74885049,-1.03133343,-0.43180212,-6.3657915433,-2.5152018121,0.95963374,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,0.96791338,-0.2934536957,-1.0837634228,1.01073615,2.37219731
-0.11180619,-2.594194289,0.63138749,0.48475373,-0.43180212,0.2376141375,-1.2441949765,-0.56406558,-1.62780269
-0.11180619,0.93727418,-0.74885049,-1.03133343,0.96791338,0.2376141375,-0.4414201926,0.90853133,-1.62780269
1.87877599,-0.694150555,2.16393762,2.32983778,0.11593783,1.5941076808,1.6554161721,0.58041724,1.37219731
-0.11180619,1.907891028,-0.74885049,-1.03133343,-0.89428657,0.2376141375,-0.4126867004,0.95963374,0.37219731
0.9689094,-1.974576365,-0.74885049,0.15575685,-1.28377766,0.2376141375,-1.0936433932,-1.055102,-0.62780269
-0.15184538,-0.265362334,0.2714795,-0.27328985,-0.11530439,-1.1188794058,-0.4582916084,-0.45162037,1.37219731
0.87813876,-1.974576365,1.08748609,2.75888448,-0.66304434,3.5393169779,-0.0324338984,-1.00684744,-1.62780269
-2.72140251,-0.462130889,0.43573383,2.64921885,-0.11530439,4.3070947673,-1.68461313,-0.76903442,0.37219731
-0.11180619,-1.003959517,-0.74885049,-1.03133343,-1.28377766,6.4313660999,0.7205368602,-0.39204049,-0.62780269
1.86808371,-2.945193213,2.13581073,2.75888448,-0.82129321,2.7138912678,0.4799180184,-1.63411736,-1.62780269
