,Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,Agreeableness,Openness,GeneralizedThreat,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.Dominance,SDO.Egalitarianism,SystemJustification,CID.SelfInvestment,CID.SelfDefinition,CON.Positive,CON.Negative,CON.Quantity,CON.NumberFriends,CON.Frequency,BeliefJustWorld,Entitativity,RWA.Conservative,RWA.Traditional,RWA.Authoritarian,RacialPosition.Foreign,RacialPosition.Inferior,% MentalHealthProviders,PremmatureDeathRate,RegionalExplicitBias,RegionalImplicitBias
CON.Positive,-0.46,-0.69,0.12,-0.54,0.3,0.17,-0.45,-0.62,-0.13,-0.47,0.08,0.13,-0.28,-0.28,-0.03,-0.05,-0.05,1,-0.96,0.52,0.44,0.47,-0.05,0.3,-0.06,0,-0.03,-0.02,0.11,-0.03,0.07,0.03,0.07
CON.Negative,0.47,0.66,-0.1,0.57,-0.32,-0.17,0.46,0.65,0.17,0.48,-0.1,-0.08,0.29,0.29,0.05,0.08,0.08,-0.96,1,-0.38,-0.36,-0.37,0.08,-0.24,0.08,0.03,0.06,0.02,-0.07,0.08,-0.08,-0.06,-0.13
CON.Quantity,-0.25,-0.45,0.23,-0.16,0.16,0.18,-0.08,-0.19,-0.08,-0.22,0.01,0.22,-0.12,-0.14,-0.06,0.04,0.04,0.52,-0.38,1,0.8,0.82,-0.03,0.18,0.08,0.09,0.05,0.05,-0.04,0.1,0.04,-0.04,-0.05
CON.NumberFriends,-0.2,-0.42,0.2,-0.07,0.22,0.18,-0.1,-0.15,-0.01,-0.14,0,0.23,-0.05,-0.1,0,0.09,0.07,0.44,-0.36,0.8,1,0.8,0.03,0.19,0.17,0.15,0.11,0.12,-0.06,0.03,0.11,0,0
CON.Frequency,-0.25,-0.43,0.24,-0.13,0.23,0.18,-0.12,-0.17,0.03,-0.19,0.09,0.26,-0.06,-0.09,0.01,0.07,0.06,0.47,-0.37,0.82,0.8,1,0.05,0.1,0.14,0.14,0.11,0.14,-0.03,0.02,0.1,0.02,-0.04
BeliefJustWorld,0.3,-0.05,-0.03,0.2,0.21,-0.05,0.25,0.12,0.72,0.18,0.26,0.24,0.38,0.38,0.82,0.44,0.43,-0.05,0.08,-0.03,0.03,0.05,1,0.08,0.47,0.36,0.4,0.27,0.22,0,-0.02,0.07,0.01
Entitativity,-0.17,-0.36,0.06,-0.2,0.13,0.11,-0.06,-0.24,0.02,-0.12,0.05,0.15,-0.24,-0.29,0.08,0.27,0.25,0.3,-0.24,0.18,0.19,0.1,0.08,1,0.02,0.06,0.05,0,0.15,-0.04,-0.01,0.03,0.06
RWA.Conservative,0.31,0.1,-0.08,0.27,0.1,0,0.28,0.3,0.57,0.26,0.18,0.62,0.52,0.5,0.52,0.4,0.37,-0.06,0.08,0.08,0.17,0.14,0.47,0.02,1,0.89,0.87,0.3,0.17,-0.1,0.16,0.14,0.06
RWA.Traditional,0.26,0.06,-0.09,0.24,0.12,0,0.24,0.24,0.48,0.18,0.16,0.72,0.46,0.45,0.43,0.37,0.34,0,0.03,0.09,0.15,0.14,0.36,0.06,0.89,1,0.96,0.28,0.14,-0.13,0.18,0.15,0.06
RWA.Authoritarian,0.29,0.08,-0.07,0.27,0.09,0.01,0.25,0.27,0.52,0.21,0.16,0.61,0.49,0.48,0.46,0.37,0.34,-0.03,0.06,0.05,0.11,0.11,0.4,0.05,0.87,0.96,1,0.28,0.14,-0.11,0.13,0.13,0.02
RacialPosition.Foreign,0.1,0.25,0.04,0.06,0.03,-0.09,0.14,0.09,0.22,0,0.06,0.17,0.25,0.31,0.35,0.08,0.09,-0.02,0.02,0.05,0.12,0.14,0.27,0,0.3,0.28,0.28,1,0.22,0.03,0.02,0.1,0.02
RacialPosition.Inferior,0.09,0.1,-0.12,-0.04,0.09,0,0.05,-0.11,0.18,-0.03,0.04,0.15,0.01,0.02,0.31,0.14,0.12,0.11,-0.07,-0.04,-0.06,-0.03,0.22,0.15,0.17,0.14,0.14,0.22,1,-0.02,-0.02,0.04,-0.05
% MentalHealthProviders,-0.06,0.02,0.08,-0.03,0.05,-0.05,0.02,-0.06,-0.1,-0.04,-0.06,-0.12,-0.07,-0.06,-0.04,-0.09,-0.1,-0.03,0.08,0.1,0.03,0.02,0,-0.04,-0.1,-0.13,-0.11,0.03,-0.02,1,-0.51,-0.66,-0.52
PremmatureDeathRate,0,0.11,0,0,0.1,0,-0.01,0,0.08,0.01,-0.06,0.2,0.11,0.11,0.03,0.03,0.06,0.07,-0.08,0.04,0.11,0.1,-0.02,-0.01,0.16,0.18,0.13,0.02,-0.02,-0.51,1,0.46,0.32
RegionalExplicitBias,0.1,0.04,0.01,0.04,0,0.03,0.06,0.04,0.14,0.08,0.07,0.2,0.15,0.15,0.1,0.1,0.12,0.03,-0.06,-0.04,0,0.02,0.07,0.03,0.14,0.15,0.13,0.1,0.04,-0.66,0.46,1,0.66
RegionalImplicitBias,0.05,0.01,-0.06,-0.02,0.04,0.01,0.01,0.01,0.04,0.03,-0.01,0.07,0.05,0.07,0,0.05,0.05,0.07,-0.13,-0.05,0,-0.04,0.01,0.06,0.06,0.06,0.02,0.02,-0.05,-0.52,0.32,0.66,1
