,Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,Agreeableness,Openness,GeneralizedThreat,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.Dominance,SDO.Egalitarianism,SystemJustification,RacialPosition.Foreign,RacialPosition.Inferior,CID.SelfInvestment,CID.SelfDefinition,CON.Positive,CON.Negative,CON.Quantity,CON.NumberFriends,CON.Frequency,BeliefJustWorld,Entitativity,RWA.Conservative,RWA.Traditional,RWA.Authoritarian,% MentalHealthProviders,PremmatureDeathRate,RegionalExplicitBias,RegionalImplicitBias
CID.SelfDefinition,0.34,-0.07,0.14,0.08,0.34,0.03,0.14,0.1,0.18,0.5,-0.11,0.25,-0.04,-0.06,0.16,0.02,0.11,0.98,1,0.04,0.01,-0.01,-0.02,0.07,0.27,0.26,0.3,0.26,0.24,0.11,0.02,0.01,-0.09
CON.Positive,-0.5,-0.67,0.1,-0.44,0.24,-0.02,-0.47,-0.56,0.49,-0.36,0.03,0.25,0.26,0.29,0.52,-0.26,0.09,0.05,0.04,1,-0.83,0.51,0.41,0.46,0.43,0.01,0.24,0.19,0.18,0.07,0.17,0.03,0.08
CON.Negative,0.44,0.57,-0.1,0.54,-0.29,-0.01,0.41,0.62,-0.35,-0.21,0.11,-0.15,-0.17,-0.2,-0.42,0.2,-0.07,0.01,0.01,-0.83,1,-0.32,-0.18,-0.24,-0.33,0.05,-0.14,-0.09,-0.09,0.01,0.14,0.04,0.04
CON.Quantity,-0.31,-0.37,0.15,-0.18,0.11,-0.01,-0.31,-0.21,0.28,-0.29,0.07,0.19,0.24,0.23,0.26,-0.15,0.09,0,-0.01,0.51,-0.32,1,0.84,0.84,0.22,0,0.18,0.16,0.14,0.03,0.11,0.01,-0.03
CON.NumberFriends,-0.29,-0.32,0.06,-0.12,0.07,-0.05,-0.27,-0.12,0.25,-0.03,0.11,0.15,0.24,0.21,0.23,-0.16,0.08,0,-0.02,0.41,-0.18,0.84,1,0.75,0.2,-0.06,0.21,0.17,0.15,-0.03,-0.06,0.03,0.06
CON.Frequency,-0.28,-0.38,0.13,-0.12,0.12,-0.07,-0.3,-0.18,0.35,-0.02,0.05,0.19,0.24,0.22,0.31,-0.16,0.02,0.08,0.07,0.46,-0.24,0.84,0.75,1,0.31,0,0.24,0.2,0.19,-0.02,0,-0.01,-0.01
BeliefJustWorld,-0.29,-0.49,0.05,-0.24,0.3,-0.15,-0.3,-0.41,0.72,0.14,-0.13,0.36,0.41,0.4,0.83,-0.22,0.03,0.28,0.27,0.43,-0.33,0.22,0.2,0.31,1,-0.01,0.51,0.44,0.44,-0.07,0.02,0,0.01
Entitativity,0.15,0,0.11,0.13,0.13,0.13,0.18,0.14,-0.03,0.25,-0.08,0.03,-0.1,-0.12,-0.03,0.22,0.24,0.23,0.26,0.01,0.05,0,-0.06,0,-0.01,1,-0.04,-0.01,-0.02,-0.13,0.05,0,-0.06
RWA.Conservative,-0.22,-0.38,-0.07,-0.1,0.12,-0.22,-0.26,-0.28,0.56,0.15,-0.18,0.67,0.48,0.47,0.48,-0.23,-0.01,0.3,0.3,0.24,-0.14,0.18,0.21,0.24,0.51,-0.04,1,0.94,0.93,-0.09,0.05,0.03,-0.09
RWA.Traditional,-0.19,-0.34,-0.07,-0.07,0.09,-0.19,-0.23,-0.23,0.5,0.03,-0.01,0.73,0.43,0.43,0.4,-0.21,0.01,0.27,0.26,0.19,-0.09,0.16,0.17,0.2,0.44,-0.01,0.94,1,0.98,0.07,0,0.08,0.05
RWA.Authoritarian,-0.2,-0.34,-0.08,-0.08,0.08,-0.2,-0.23,-0.24,0.51,-0.1,-0.15,0.65,0.46,0.47,0.41,-0.22,-0.01,0.24,0.24,0.18,-0.09,0.14,0.15,0.19,0.44,-0.02,0.93,0.98,1,-0.07,-0.06,-0.03,-0.03
% MentalHealthProviders,-0.1,0.07,0.12,0,0.08,-0.1,0.04,-0.05,-0.06,-0.07,-0.01,-0.08,-0.06,-0.04,-0.03,-0.11,-0.12,-0.05,0.11,0.07,0.01,0.03,-0.03,-0.02,-0.07,-0.13,-0.09,0.07,-0.07,1,-0.47,-0.69,-0.49
PremmatureDeathRate,-0.03,0.16,0.12,-0.02,0.15,-0.06,0.03,-0.03,-0.02,-0.1,-0.12,0.11,0.09,0.08,0,-0.11,0,0.08,0.02,0.17,0.14,0.11,-0.06,0,0.02,0.05,0.05,0,-0.06,-0.47,1,0.42,0.28
RegionalExplicitBias,-0.01,0.02,0.04,0.04,0.02,0,0.03,0.03,-0.01,0.02,0.05,0.1,0.1,0.12,0.11,0.05,0,-0.01,0.01,0.03,0.04,0.01,0.03,-0.01,0,0,0.03,0.08,-0.03,-0.69,0.42,1,0.61
RegionalImplicitBias,-0.04,0.05,0,-0.06,0.12,-0.03,0.01,-0.1,-0.06,-0.01,-0.04,-0.05,-0.03,0.03,-0.08,-0.02,0,0.01,-0.09,0.08,0.04,-0.03,0.06,-0.01,0.01,-0.06,-0.09,0.05,-0.03,-0.49,0.28,0.61,1
